Date,Time,Name,Team,Enemy,Duration,Win,Spell1,Spell2,Kills,Deaths,Assists,CS,Gold,Item1,Item2,Item3,Item4,Item5,Item6,Team Ban 1,Team Ban 2,Team Ban 3,Enemy Ban 1,Enemy Ban 2,Enemy Ban 3
7/18/2013,16:00,Vileroze,Velocity eSports,Counter Logic Gaming,(51:34),1,Flash,Ignite,1,2,14,307,16.3k,Trinity Force,Randuin's Omen,Sunfire Cape,Thornmail,Mercury's Treads - Homeguard,Empty,Elise,Jayce,Twisted Fate,Kayle,Evelynn,Rumble
7/18/2013,16:00,Nk Inc,Velocity eSports,Counter Logic Gaming,(51:34),1,Flash,Smite,1,0,16,160,12.9k,Randuin's Omen,Runic Bulwark,Ruby Sightstone,Ninja Tabi - Homeguard,Chain Vest,Madred's Razors,Elise,Jayce,Twisted Fate,Kayle,Evelynn,Rumble
7/18/2013,16:00,ecco,Velocity eSports,Counter Logic Gaming,(51:34),1,Ignite,Flash,4,2,10,403,18.7k,Rabadon's Deathcap,Zhonya's Hourglass,Seraph's Embrace,Void Staff,Morello's Evil Tome,Sorcerer's Shoes - Homeguard,Elise,Jayce,Twisted Fate,Kayle,Evelynn,Rumble
7/18/2013,16:00,maplestreet,Velocity eSports,Counter Logic Gaming,(51:34),1,Barrier,Flash,11,0,5,445,22k,Infinity Edge,The Bloodthirster,Phantom Dancer,Guardian Angel,Last Whisper,Berserker's Greaves - Homeguard,Elise,Jayce,Twisted Fate,Kayle,Evelynn,Rumble
7/18/2013,16:00,Evaniskus,Velocity eSports,Counter Logic Gaming,(51:34),1,Ignite,Flash,1,2,12,47,11.9k,Locket of the Iron Solari,Ruby Sightstone,Boots of Mobility - Homeguard,Sight Ward,Empty,Empty,Elise,Jayce,Twisted Fate,Kayle,Evelynn,Rumble
7/19/2013,15:00,ZionSpartan,Team Coast,Team SoloMid,(30:13),0,Ignite,Flash,2,2,4,151,7.8k,Sunfire Cape,Mercury's Treads,Giant's Belt,Doran's Shield,Null-Magic Mantle,Empty,Karthus,Zed,Renekton,Twisted Fate,Jayce,Blitzcrank
7/19/2013,15:00,NintendudeX,Team Coast,Team SoloMid,(30:13),0,Smite,Flash,2,5,4,89,6.6k,Runic Bulwark,Spirit of the Ancient Golem,Doran's Blade,Boots of Speed,Sight Ward,Health Potion,Karthus,Zed,Renekton,Twisted Fate,Jayce,Blitzcrank
7/19/2013,15:00,Shiphtur,Team Coast,Team SoloMid,(30:13),0,Ignite,Flash,6,2,3,200,10k,Deathfire Grasp,Abyssal Scepter,Sorcerer's Shoes - Homeguard,Blasting Wand,Doran's Ring,Doran's Ring,Karthus,Zed,Renekton,Twisted Fate,Jayce,Blitzcrank
7/19/2013,15:00,DontMashMe,Team Coast,Team SoloMid,(30:13),0,Barrier,Flash,0,3,5,207,8.3k,Infinity Edge,Bilgewater Cutlass,Berserker's Greaves,Doran's Blade,Dagger,Dagger,Karthus,Zed,Renekton,Twisted Fate,Jayce,Blitzcrank
7/19/2013,15:00,Daydreamin,Team Coast,Team SoloMid,(30:13),0,Exhaust,Flash,0,2,4,10,5k,Ruby Sightstone,Ruby Crystal,Boots of Speed,Empty,Empty,Empty,Karthus,Zed,Renekton,Twisted Fate,Jayce,Blitzcrank
7/19/2013,15:00,Reginald,Team SoloMid,Team Coast,(30:13),1,Flash,Ignite,6,3,6,200,12.3k,Frozen Heart,Rod of Ages,Seraph's Embrace,Sorcerer's Shoes,Sight Ward,Health Potion,Twisted Fate,Jayce,Blitzcrank,Karthus,Zed,Renekton
7/19/2013,15:00,TheOddOne,Team SoloMid,Team Coast,(30:13),1,Smite,Flash,4,0,9,100,10.3k,Runic Bulwark,Spirit of the Ancient Golem,Locket of the Iron Solari,Ninja Tabi,Sight Ward,Empty,Twisted Fate,Jayce,Blitzcrank,Karthus,Zed,Renekton
7/19/2013,15:00,Dyrus,Team SoloMid,Team Coast,(30:13),1,Ignite,Flash,2,4,9,133,9.5k,Liandry's Torment,Rylai's Crystal Scepter,Sorcerer's Shoes,Doran's Shield,Empty,Empty,Twisted Fate,Jayce,Blitzcrank,Karthus,Zed,Renekton
7/19/2013,15:00,WildTurtle,Team SoloMid,Team Coast,(30:13),1,Flash,Barrier,2,1,7,237,11.9k,Blade of the Ruined King,Phantom Dancer,Berserker's Greaves,Pickaxe,Doran's Blade,Empty,Twisted Fate,Jayce,Blitzcrank,Karthus,Zed,Renekton
7/19/2013,15:00,Xpecial,Team SoloMid,Team Coast,(30:13),1,Exhaust,Flash,0,2,10,24,7.4k,Ruby Sightstone,Boots of Mobility,Kindlegem,Vision Ward,Sight Ward,Empty,Twisted Fate,Jayce,Blitzcrank,Karthus,Zed,Renekton
7/19/2013,16:00,Balls,Cloud 9,Team Curse,(28:35),1,Exhaust,Flash,8,5,7,271,13.4k,Rabadon's Deathcap,Rod of Ages,Seraph's Embrace,Sorcerer's Shoes,Blasting Wand,Empty,Shen,Jayce,Nunu,Rumble,Twisted Fate,Elise
7/19/2013,16:00,Meteos,Cloud 9,Team Curse,(28:35),1,Smite,Flash,2,3,12,130,9.2k,Aegis of the Legion,Spirit of the Ancient Golem,Glacial Shroud,Ninja Tabi,Crystalline Flask,Cloth Armor,Shen,Jayce,Nunu,Rumble,Twisted Fate,Elise
7/19/2013,16:00,Hai,Cloud 9,Team Curse,(28:35),1,Ignite,Flash,4,2,7,174,10.3k,Blade of the Ruined King,Last Whisper,Ninja Tabi,Giant's Belt,Long Sword,Cloth Armor,Shen,Jayce,Nunu,Rumble,Twisted Fate,Elise
7/19/2013,16:00,Sneaky,Cloud 9,Team Curse,(28:35),1,Flash,Barrier,3,3,10,190,10.6k,Infinity Edge,Statikk Shiv,Berserker's Greaves,Pickaxe,Doran's Blade,Doran's Blade,Shen,Jayce,Nunu,Rumble,Twisted Fate,Elise
